ID,Make,Model,Engine,Fuel,Driveline,Hybrid,City,Highway,Transmission,Year,Horsepower,Torque
2009 Audi A3 3.2,Audi,2009 Audi A3,Audi 3.2L 6 cylinder 250hp 236ft-lbs,Gasoline,All-wheel drive,True,18,25,Automatic transmission,2009,250,236
2009 Audi A3 2.0 T AT,Audi,2009 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,Front-wheel drive,True,22,28,Automatic transmission,2009,200,207
2009 Audi A3 2.0 T,Audi,2009 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Manual transmission,2009,200,207
2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,28,Automatic transmission,2009,200,207
2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,28,Automatic transmission,2009,200,207
2009 Audi A5 3.2,Audi,2009 Audi A5,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,All-wheel drive,True,16,27,Manual transmission,2009,265,243
2009 Audi A5 3.2 AT,Audi,2009 Audi A5,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,All-wheel drive,True,17,26,Automatic transmission,2009,265,243
2009 Audi Q7 4.2,Audi,2009 Audi Q7,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,Gasoline,All-wheel drive,True,13,18,Automatic transmission,2009,350,325
2009 Audi Q7 3.6,Audi,2009 Audi Q7,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,Gasoline,All-wheel drive,True,14,20,Automatic transmission,2009,280,266
2009 Audi A4 Sedan 2.0 T Quattro,Audi,2009 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,22,30,Manual transmission,2009,211,258
2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,2009 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,27,Automatic transmission,2009,211,258
2009 Audi A4 Sedan 3.2,Audi,2009 Audi A4 Sedan,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,All-wheel drive,True,17,26,Automatic transmission,2009,265,243
2012 Acura TL,Acura,2012 Acura TL,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,Gasoline,Front-wheel drive,True,20,29,Automatic transmission,2012,280,254
2012 Acura TL SH-AWD,Acura,2012 Acura TL,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,Gasoline,All-wheel drive,True,18,26,Automatic transmission,2012,305,273
2010 BMW X5 M SUV,BMW,2010 BMW X5,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,All-wheel drive,True,12,17,Automatic transmission,2010,555,500
2011 BMW X5 M SUV,BMW,2011 BMW X5,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,All-wheel drive,True,12,17,Automatic transmission,2011,555,500
2010 BMW X6 M,BMW,2010 BMW X6,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,All-wheel drive,True,12,17,Automatic transmission,2010,555,500
2011 BMW X6 M,BMW,2011 BMW X6,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,All-wheel drive,True,12,17,Automatic transmission,2011,555,500
2012 Chevrolet Colorado Work Truck,Chevrolet,2012 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2012,185,190
2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2012 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2012,185,190
2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2012 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2012,185,190
2011 Chevrolet Colorado Work Truck,Chevrolet,2011 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2011,185,190
2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2011 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2011,185,190
2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2011,185,190
2010 Chevrolet Colorado Work Truck,Chevrolet,2010 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2010,185,190
2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2010 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,20,26,Manual transmission,2010,185,190
2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,2010 Chevrolet Colorado,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2010,185,190
2012 Chevrolet Express LS 1500,Chevrolet,2012 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,Rear-wheel drive,True,13,18,Automatic transmission,2012,310,334
2012 Chevrolet Express LS 1500 AWD,Chevrolet,2012 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,All-wheel drive,True,9,12,Automatic transmission,2012,310,334
2011 Chevrolet Express LS 1500,Chevrolet,2011 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,Rear-wheel drive,True,13,17,Automatic transmission,2011,310,334
2011 Chevrolet Express LS 1500 AWD,Chevrolet,2011 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,All-wheel drive,True,13,17,Automatic transmission,2011,310,334
