ID;Make;Model;Fuel;Transmission;;Location
2009 Audi A3 3.2;Audi;2009 Audi A3;Gasoline;Automatic transmission;;University Square
2009 Audi A3 2.0 T AT;Audi;2009 Audi A3;Gasoline;Automatic transmission;;Baneasa Shopping City
2009 Audi A3 2.0 T;Audi;2009 Audi A3;Gasoline;Manual transmission;;IKEA Pallady
2009 Audi A3 2.0 T Quattro;Audi;2009 Audi A3;Gasoline;Automatic transmission;;Afi Cotroceni
2009 Audi A3 2.0 T Quattro;Audi;2009 Audi A3;Gasoline;Automatic transmission;;University Square
2009 Audi A5 3.2;Audi;2009 Audi A5;Gasoline;Manual transmission;;Baneasa Shopping City
2009 Audi A5 3.2 AT;Audi;2009 Audi A5;Gasoline;Automatic transmission;;IKEA Pallady
2009 Audi Q7 4.2;Audi;2009 Audi Q7;Gasoline;Automatic transmission;;Afi Cotroceni
2009 Audi Q7 3.6;Audi;2009 Audi Q7;Gasoline;Automatic transmission;;University Square
2009 Audi A4 Sedan 2.0 T Quattro;Audi;2009 Audi A4 Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2009 Audi A4 Sedan 2.0 T Quattro AT;Audi;2009 Audi A4 Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2009 Audi A4 Sedan 3.2;Audi;2009 Audi A4 Sedan;Gasoline;Automatic transmission;;Afi Cotroceni
2012 Acura TL;Acura;2012 Acura TL;Gasoline;Automatic transmission;;University Square
2012 Acura TL SH-AWD;Acura;2012 Acura TL;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 BMW X5 M SUV;BMW;2010 BMW X5;Gasoline;Automatic transmission;;IKEA Pallady
2011 BMW X5 M SUV;BMW;2011 BMW X5;Gasoline;Automatic transmission;;Afi Cotroceni
2010 BMW X6 M;BMW;2010 BMW X6;Gasoline;Automatic transmission;;University Square
2011 BMW X6 M;BMW;2011 BMW X6;Gasoline;Automatic transmission;;Baneasa Shopping City
2012 Chevrolet Colorado Work Truck;Chevrolet;2012 Chevrolet Colorado;Gasoline;Manual transmission;;IKEA Pallady
2012 Chevrolet Colorado Extended Cab Work Truck;Chevrolet;2012 Chevrolet Colorado;Gasoline;Manual transmission;;Afi Cotroceni
2012 Chevrolet Colorado Crew Cab 1LT;Chevrolet;2012 Chevrolet Colorado;Gasoline;Automatic transmission;;University Square
2011 Chevrolet Colorado Work Truck;Chevrolet;2011 Chevrolet Colorado;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Chevrolet Colorado Extended Cab Work Truck;Chevrolet;2011 Chevrolet Colorado;Gasoline;Manual transmission;;IKEA Pallady
2011 Chevrolet Colorado Crew Cab 1LT;Chevrolet;2011 Chevrolet Colorado;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Chevrolet Colorado Work Truck;Chevrolet;2010 Chevrolet Colorado;Gasoline;Manual transmission;;University Square
